name,town,county,tier
WOLFSON COLLEGE CAMBRIDGE,CAMBRIDGE,,1
Woodlands Community College,Southampton,Hampshire,1
Wycliffe College (Incorporated),Stonehouse,Gloucestershire,1
Wyke Sixth Form College,Hull,East Yorkshire,1
Wyvern College,BOTLEY,Hampshire,1
Yavneh College,Herts,Herts,1
Yeovil College,Yeovil,Somerset,1
York College,York,,1
YORKSHIRE COLLEGE LTD,Leeds,West Yorkshire,1
ZENITH ACADEMY OF HEALTHCARE STUDIES LTD,London,,1
ZONE SCHOOL OF BUSINESS STUDIES LONDON LTD,"London, England",,1
1 ACE TRAINING LIMITED,London,,2
2020 Innovation Training Limited,Birmingham,West Midlands,2
6 Bit Education Ltd,Birmingham,,2
A PLUS ACADEMY LTD,Manchester,,2
A&J School Limited,London,,2
A-TO-E TRAINING AND SOLUTIONS LTD,London,,2
A-Z LEARNING ACADEMY LTD,London,,2
Abacus Nursery School,London,,2
Abbey Multi Academy Trust,Leeds,,2
Abbeyfield Primary Academy,SHEFFIELD,South Yorkshire,2
ABC EDUCATION CONSULTANCY LTD,Manchester,England,2
Ability Post Production Academy Limited,Glasgow,,2
Acacia Care and Education Limited,Oxford,Oxfordshire,2
ACADEMY HOSPITALITY LTD,London,,2
ACADEMY HOUSE LIMITED,GLASGOW,,2
Academy Music Group,London,,2
ACADEMY WHOLESALE ELECTRICS LTD,GLASGOW,,2
Access All Care and Training Solutions Ltd,Chingford,London,2
ACEBRIDGE EDUCATION LTD,London,,2
ACL Education Solutions Ltd,London,England,2
Actify Training and Technology CIC,Glasgow,Glasgow,2
"Action for Health, Education and Disability (AHEAD) International",Birmingham,West Midlands,2
Activate Learning,Oxford,Oxfordshire,2
Activate Learning Education Trust,Reading,,2
Active Training Team Ltd,London,London,2
AD Property Training Ltd,SHEFFIELD,,2
Adams Academy Inc Ltd,Aldgate,London,2
Addey and Stanhope School,London,,2
Adnan Cricket Academy Ltd,London,,2
ADVANCE EDUCATION GROUP LTD,London,,2
Advanced Beauty Clinic and Training Ltd.,London,,2
Aesthetic Beauty Training Ltd,Bristol,,2
Agape Multi Academy Trust,Reading,Berkshire,2
AKG (UK) Learning Limited,London,,2
Akiva School,London,London,2
AL HASSAN EDUCATIONAL ACADEMY,London,,2
Al Rowad International Schools Limited c/o The Pioneers Academy,Birmingham,West Midlands,2
Al-Farooq Education & Community Centre,Glasgow,,2
AL-HUDA ACADEMY,BOLTON,,2
Al-zahra Education Ltd T/a Step Institution,London,,2
Albatross Education Ltd,London,,2
Aldridge Education,London,,2
ALETHEIA ACADEMY LTD,Birmingham,,2
Alexi Overseas Education Consultancy and Service Ltd.,Newcastle Upon Tyne,,2
ALIFYA EDUCATION LTD,London,,2
Aliza Business Academy,Birmingham,,2
ALL ABROAD EDUCATION UK LTD,London,,2
ALL SAINTS CATHOLIC SCHOOL,DAGENHAM,LONDON,2
All Saints Trust T/A Our Lady of Grace Catholic Infant School,London,,2
Alleyn's School Ltd,London,,2
Ambiway Education Ltd,London,,2
Ambler Primary School and Children's Centre,Islington,London,2
Anglian Learning,Cambridge,Cambridgeshire,2
Anthem Schools Trust,London,London,2
ANZUK EDUCATION LTD,LONDON,,2
AP Barnet MAT Oak Hill School,London,Hertfordshire,2
APOLLO HEALTHCARE & TRAINING LTD,Bolton,,2
Apple Montessori School London Limited,Ealing,London,2
AQA Education,Manchester,,2
Aquinas Education Ltd,Nottingham,Nottinghamshire,2
Arbor Education Partners Ltd,London,,2
Archway Learning Trust,Nottingham,Nottinghamshire,2
Arco Academy,London,,2
Argyle IT & Education Limited,Edinburgh,,2
Arnot St. Mary CofE Primary School,Liverpool,,2
Arts Educational School London,London,,2
AS Foreign Education Consultants Limited,Birmingham,,2
ASCEND LEARNING SYSTEMS LIMITED,LONDON,,2
Ascent Flight Training (Management) Limited,Bristol,South Gloucestershire,2
Aspect Education Limited,London,,2
Aspire Learning Centres & Childcare Limited,Manchester,,2
ASQ Education Ltd,London,,2
Association of Employment & Learning Providers,Bristol,,2
Aston Pre-School and Creche Services Ltd,Birmingham,,2
Astrea Academy Trust,Sheffield,,2
